question,correct_answer,student_answer,label,processed_correct_answer,processed_student_answer
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is Hydrogen Chloride.,0,hcl stands hydrochloric acid,hcl hydrogen chloride
What is the hardest natural substance on Earth?,The hardest natural substance on Earth is diamond.,Diamonds are the hardest natural material.,1,hardest natural substance earth diamond,diamonds hardest natural material
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Earth is the third planet from the Sun.,1,third planet sun earth,earth third planet sun
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is roughly 300000 kilometers per second.,1,speed light approximately 300000 kilometers per second,speed light roughly 300000 kilometers per second
What is the capital of Russia?,The capital of Russia is Moscow.,St. Petersburg is the capital of Russia.,0,capital russia moscow,petersburg capital russia
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs pump blood through the body.,0,lungs help breathing exchanging oxygen carbon dioxide,lungs pump blood body
What is the name of the first president of the United States?,The first president of the United States is George Washington.,George Washington was the first president.,1,first president united states george washington,george washington first president
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,Light travels at about 300000 km/s.,1,speed light approximately 300000 kilometers per second,light travels 300000
What is a habitat?,A habitat is the natural home of an organism.,The natural environment of an organism is called its habitat.,1,habitat natural home organism,natural environment organism called habitat
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 100 degrees Celsius.,0,freezing point water 0 degrees celsius,water freezes 100 degrees celsius
What is the largest ocean?,The largest ocean is the Pacific Ocean.,The Atlantic Ocean is the largest ocean.,0,largest ocean pacific ocean,atlantic ocean largest ocean
What is the capital of Australia?,The capital of Australia is Canberra.,Canberra is the capital of Australia.,1,capital australia canberra,canberra capital australia
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water freezes at 0 degrees Celsius.,0,boiling point water 100 degrees celsius,water freezes 0 degrees celsius
What is the smallest prime number?,The smallest prime number is 2.,The smallest prime number is 1.,0,smallest prime number 2,smallest prime number 1
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,Pythagoras proved that a² + b² = c².,1,pythagorean theorem states a² b² c²,pythagoras proved a² b² c²
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is short for Hydrochloric Acid.,1,hcl stands hydrochloric acid,hcl short hydrochloric acid
What is the chemical symbol for Gold?,The chemical symbol for Gold is Au.,Gold is represented by the symbol Ag.,0,chemical symbol gold au,gold represented symbol ag
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Condensation occurs when water turns to vapor.,0,process water changing vapor called evaporation,condensation occurs water turns vapor
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,At 32°F water freezes.,1,freezing point water 32 degrees fahrenheit,water freezes
What is an adjective?,An adjective is a word that describes a noun.,An adjective describes a noun.,1,adjective word describes noun,adjective describes noun
What is the chemical formula for water?,The chemical formula for water is H2O.,Water is made of H2O.,1,chemical formula water h2o,water made h2o
What is the function of the heart?,The heart pumps blood throughout the body.,The heart filters blood.,0,heart pumps blood throughout body,heart filters blood
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 0 degrees Celsius.,1,freezing point water 0 degrees celsius,water freezes 0 degrees celsius
What is the square root of 64?,The square root of 64 is 8.,The square root of sixty-four is 9.,0,square root 64 8,square root 9
What is the chemical symbol for Oxygen?,The chemical symbol for Oxygen is O.,Oxygen is represented by the symbol O.,1,chemical symbol oxygen,oxygen represented symbol
What is the capital of France?,The capital of France is Paris.,Berlin is the capital of France.,0,capital france paris,berlin capital france
What is a verb?,A verb is a word that describes an action state or occurrence.,A verb indicates motion or action.,1,verb word describes action state occurrence,verb indicates motion action
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Earth is the third planet from the Sun.,1,third planet sun earth,earth third planet sun
What is the square root of 64?,The square root of 64 is 8.,The square root of 64 is 8.,1,square root 64 8,square root 64 8
What is the smallest prime number?,The smallest prime number is 2.,The smallest prime number is 2.,1,smallest prime number 2,smallest prime number 2
What is the capital of Russia?,The capital of Russia is Moscow.,St. Petersburg is the capital of Russia.,0,capital russia moscow,petersburg capital russia
Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.,William Shakespeare wrote 'Hamlet'.,1,written william shakespeare,william shakespeare wrote
What is a synonym for 'quick'?,A synonym for 'quick' is 'fast'.,A synonym for 'quick' is 'rapid'.,1,synonym,synonym
What does 'benevolent' mean?,Benevolent means kind and charitable.,Benevolent describes kindness.,1,benevolent means kind charitable,benevolent describes kindness
What is the capital of India?,The capital of India is New Delhi.,Mumbai is the capital of India.,0,capital india new delhi,mumbai capital india
What is the capital of Italy?,The capital of Italy is Rome.,Rome is the capital of Italy.,1,capital italy rome,rome capital italy
What is a verb?,A verb is a word that describes an action state or occurrence.,A noun names an object.,0,verb word describes action state occurrence,noun names object
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,Sahara is the largest desert.,1,largest desert world sahara desert,sahara largest desert
What is the chemical formula for water?,The chemical formula for water is H2O.,Water is made of CO2.,0,chemical formula water h2o,water made co2
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where humans artificially grow plants.,0,habitat natural home organism,habitat humans artificially grow plants
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,Vincent van Gogh painted the Mona Lisa.,0,mona lisa painted leonardo da vinci,vincent van gogh painted mona lisa
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Milky Way is the name of our galaxy.,1,galaxy called milky way,milky way name galaxy
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is 150000 kilometers per second.,0,speed light approximately 300000 kilometers per second,speed light 150000 kilometers per second
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs are used to pump blood.,0,lungs help breathing exchanging oxygen carbon dioxide,lungs used pump blood
What is the smallest ocean?,The smallest ocean is the Arctic Ocean.,The Arctic is the smallest ocean.,1,smallest ocean arctic ocean,arctic smallest ocean
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is mainly made of sugar.,0,main ingredient bread flour,bread mainly made sugar
What is the capital of Russia?,The capital of Russia is Moscow.,The capital city of Russia is Moscow.,1,capital russia moscow,capital city russia moscow
What is an antonym for 'happy'?,An antonym for 'happy' is 'sad'.,'Joyful' is the opposite of 'happy'.,0,antonym,opposite
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is mainly made of sugar.,0,main ingredient bread flour,bread mainly made sugar
What is a noun?,A noun is a word that names a person place thing or idea.,A verb describes an action.,0,noun word names person place thing idea,verb describes action
Who wrote '1984'?,'1984' was written by George Orwell.,George Orwell wrote '1984'.,1,written george orwell,george orwell wrote
What is the smallest ocean?,The smallest ocean is the Arctic Ocean.,The Arctic is the smallest ocean.,1,smallest ocean arctic ocean,arctic smallest ocean
What is a preposition?,A preposition shows the relationship between a noun and another word.,A preposition is a describing word.,0,preposition shows relationship noun another word,preposition describing word
What is the hardest natural substance on Earth?,The hardest natural substance on Earth is diamond.,Diamonds are the hardest natural material.,1,hardest natural substance earth diamond,diamonds hardest natural material
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Mars is the largest planet.,0,largest planet solar system jupiter,mars largest planet
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states a² * b² = c².,0,pythagorean theorem states a² b² c²,theorem states a² b² c²
What is the function of the heart?,The heart pumps blood throughout the body.,The heart circulates blood in the body.,1,heart pumps blood throughout body,heart circulates blood body
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is 150000 km/s.,0,speed light approximately 300000 kilometers per second,speed light 150000
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Sahara Desert is the largest in the world.,1,largest desert world sahara desert,sahara desert largest world
What is the chemical formula for water?,The chemical formula for water is H2O.,Water's chemical formula is H2O.,1,chemical formula water h2o,water chemical formula h2o
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Alexander Graham Bell is the inventor of the telephone.,1,telephone invented alexander graham bell,alexander graham bell inventor telephone
What is the capital of Canada?,The capital of Canada is Ottawa.,Toronto is Canada's capital.,0,capital canada ottawa,toronto canada capital
What is the square root of 64?,The square root of 64 is 8.,The square root of 64 is 9.,0,square root 64 8,square root 64 9
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Gobi is the largest desert.,0,largest desert world sahara desert,gobi largest desert
What is a preposition?,A preposition shows the relationship between a noun and another word.,A preposition is a describing word.,0,preposition shows relationship noun another word,preposition describing word
What is an adjective?,An adjective is a word that describes a noun.,An adjective modifies a noun.,1,adjective word describes noun,adjective modifies noun
What is a noun?,A noun is a word that names a person place thing or idea.,A verb describes an action.,0,noun word names person place thing idea,verb describes action
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,The inventor of the telephone is Alexander Graham Bell.,1,telephone invented alexander graham bell,inventor telephone alexander graham bell
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys remove waste and toxins from the blood.,1,kidneys filter waste blood,kidneys remove waste toxins blood
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA stands for Dynamic Nucleic Acid.,0,dna stands deoxyribonucleic acid,dna stands dynamic nucleic acid
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs exchange oxygen and carbon dioxide.,1,lungs help breathing exchanging oxygen carbon dioxide,lungs exchange oxygen carbon dioxide
What is a triangle?,A triangle is a polygon with three sides.,A triangle is a three-sided polygon.,1,triangle polygon three sides,triangle polygon
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is primarily made with flour.,1,main ingredient bread flour,bread primarily made flour
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor compares things symbolically.,1,metaphor figure speech one thing said another,metaphor compares things symbolically
What is a synonym for 'big'?,A synonym for 'big' is 'large'.,A synonym for 'big' is 'tiny'.,0,synonym,synonym
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 100 degrees Celsius.,0,freezing point water 0 degrees celsius,water freezes 100 degrees celsius
What is the smallest bone in the human body?,The smallest bone in the human body is the stapes.,The stapes is the smallest bone.,1,smallest bone human body stapes,stapes smallest bone
What is the result of 5 x 6?,The result of 5 x 6 is 30.,5 multiplied by 6 equals 25.,0,result 5 x 6 30,5 multiplied 6 equals 25
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Condensation is when water turns into vapor.,0,process water changing vapor called evaporation,condensation water turns vapor
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Michelangelo painted the Sistine Chapel ceiling.,1,sistine chapel ceiling painted michelangelo,michelangelo painted sistine chapel ceiling
What is a preposition?,A preposition shows the relationship between a noun and another word.,A preposition indicates location or time.,1,preposition shows relationship noun another word,preposition indicates location time
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Andromeda galaxy is our galaxy.,0,galaxy called milky way,andromeda galaxy galaxy
What does 'benevolent' mean?,Benevolent means kind and charitable.,Benevolent describes kindness.,1,benevolent means kind charitable,benevolent describes kindness
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,A triangle's angles total 180 degrees.,1,sum angles triangle 180 degrees,triangle angles total 180 degrees
What is a synonym for 'big'?,A synonym for 'big' is 'large'.,A synonym for 'big' is 'tiny'.,0,synonym,synonym
Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.,Charles Dickens wrote 'Hamlet'.,0,written william shakespeare,charles dickens wrote
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Evaporation is when water turns into vapor.,1,process water changing vapor called evaporation,evaporation water turns vapor
What is the square root of 64?,The square root of 64 is 8.,The square root of sixty-four is 8.,1,square root 64 8,square root 8
What is the genre of 'To Kill a Mockingbird'?,The genre of 'To Kill a Mockingbird' is fiction.,'To Kill a Mockingbird' is a history book.,0,genre kill mockingbird fiction,kill mockingbird history book
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor compares two things indirectly.,1,metaphor figure speech one thing said another,metaphor compares two things indirectly
What is the tallest mountain in the world?,The tallest mountain in the world is Mount Everest.,Mount Everest is the tallest mountain.,1,tallest mountain world mount everest,mount everest tallest mountain
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,The total of a triangle's angles is 180 degrees.,1,sum angles triangle 180 degrees,total triangle angles 180 degrees
What is the capital of France?,The capital of France is Paris.,France's capital is Paris.,1,capital france paris,france capital paris
What is the function of the heart?,The heart pumps blood throughout the body.,The heart pumps blood.,1,heart pumps blood throughout body,heart pumps blood
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,At 32°F water freezes.,1,freezing point water 32 degrees fahrenheit,water freezes
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states a² + b² = ab.,0,pythagorean theorem states a² b² c²,theorem states a² b² ab
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,A triangle's angles add up to 360 degrees.,0,sum angles triangle 180 degrees,triangle angles add 360 degrees
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Isaac Newton discovered gravity.,1,gravity discovered isaac newton,isaac newton discovered gravity
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys help pump blood throughout the body.,0,kidneys filter waste blood,kidneys help pump blood throughout body
What is a synonym for 'quick'?,A synonym for 'quick' is 'fast'.,A synonym for 'quick' is 'rapid'.,1,synonym,synonym
What is the main ingredient in bread?,The main ingredient in bread is flour.,Flour is the key ingredient for bread.,1,main ingredient bread flour,flour key ingredient bread
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Condensation occurs when water turns to vapor.,0,process water changing vapor called evaporation,condensation occurs water turns vapor
What is the largest continent?,The largest continent is Asia.,Africa is the largest continent.,0,largest continent asia,africa largest continent
What is the capital of Canada?,The capital of Canada is Ottawa.,Toronto is the capital of Canada.,0,capital canada ottawa,toronto capital canada
What is the chemical symbol for Iron?,The chemical symbol for Iron is Fe.,Iron's symbol is Ir.,0,chemical symbol iron fe,iron symbol ir
What is the capital of Canada?,The capital of Canada is Ottawa.,Ottawa is the capital city of Canada.,1,capital canada ottawa,ottawa capital city canada
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs exchange oxygen and carbon dioxide.,1,lungs help breathing exchanging oxygen carbon dioxide,lungs exchange oxygen carbon dioxide
What is the capital of Canada?,The capital of Canada is Ottawa.,Ottawa is Canada's capital.,1,capital canada ottawa,ottawa canada capital
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA is Deoxyribonucleic Acid.,1,dna stands deoxyribonucleic acid,dna deoxyribonucleic acid
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Milky Way is our galaxy.,1,galaxy called milky way,milky way galaxy
What is the smallest ocean?,The smallest ocean is the Arctic Ocean.,The Arctic Ocean is the smallest.,1,smallest ocean arctic ocean,arctic ocean smallest
What is a verb?,A verb is a word that describes an action state or occurrence.,A verb is an action word.,1,verb word describes action state occurrence,verb action word
What is the capital of Germany?,The capital of Germany is Berlin.,Hamburg is the capital of Germany.,0,capital germany berlin,hamburg capital germany
What is the chemical symbol for Oxygen?,The chemical symbol for Oxygen is O.,Oxygen is represented by the symbol N.,0,chemical symbol oxygen,oxygen represented symbol n
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a multi-sided shape with straight edges.,1,polygon closed figure straight sides,polygon shape straight edges
What is the function of the heart?,The heart pumps blood throughout the body.,The heart's primary role is pumping blood.,1,heart pumps blood throughout body,heart primary role pumping blood
What is the chemical symbol for Gold?,The chemical symbol for Gold is Au.,Gold is represented by the symbol Au.,1,chemical symbol gold au,gold represented symbol au
What is the largest continent?,The largest continent is Asia.,Asia is the largest continent on Earth.,1,largest continent asia,asia largest continent earth
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,The inventor of the telephone is Alexander Graham Bell.,1,telephone invented alexander graham bell,inventor telephone alexander graham bell
What is the capital of France?,The capital of France is Paris.,Berlin is the capital of France.,0,capital france paris,berlin capital france
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is 150000 km/s.,0,speed light approximately 300000 kilometers per second,speed light 150000
What is the capital of Australia?,The capital of Australia is Canberra.,Canberra is Australia's capital.,1,capital australia canberra,canberra australia capital
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Thomas Edison invented the telephone.,0,telephone invented alexander graham bell,thomas edison invented telephone
What is the capital of France?,The capital of France is Paris.,Berlin is the capital of France.,0,capital france paris,berlin capital france
What is the capital of Canada?,The capital of Canada is Ottawa.,Ottawa is Canada's capital.,1,capital canada ottawa,ottawa canada capital
Who discovered gravity?,Gravity was discovered by Isaac Newton.,The discovery of gravity is attributed to Isaac Newton.,1,gravity discovered isaac newton,discovery gravity attributed isaac newton
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis helps plants produce food.,1,photosynthesis process plants make food using sunlight,photosynthesis helps plants produce food
What is the chemical formula for water?,The chemical formula for water is H2O.,Water's chemical formula is H2O.,1,chemical formula water h2o,water chemical formula h2o
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Mars is the third planet from the Sun.,0,third planet sun earth,mars third planet sun
What is the name of the first president of the United States?,The first president of the United States is George Washington.,Abraham Lincoln was the first president.,0,first president united states george washington,abraham lincoln first president
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where an organism lives.,1,habitat natural home organism,habitat organism lives
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs are used to pump blood.,0,lungs help breathing exchanging oxygen carbon dioxide,lungs used pump blood
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon has straight sides and is a closed shape.,1,polygon closed figure straight sides,polygon straight sides closed shape
What is a triangle?,A triangle is a polygon with three sides.,A triangle is a three-sided polygon.,1,triangle polygon three sides,triangle polygon
What is a habitat?,A habitat is the natural home of an organism.,A habitat is the living place of an organism.,1,habitat natural home organism,habitat living place organism
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where humans artificially grow plants.,0,habitat natural home organism,habitat humans artificially grow plants
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a figure with curved edges.,0,polygon closed figure straight sides,polygon figure curved edges
What is the formula for the area of a triangle?,The formula for the area of a triangle is 1/2 x base x height.,The area of a triangle is base times height.,0,formula area triangle x base x height,area triangle base times height
What is the capital of Germany?,The capital of Germany is Berlin.,Berlin is Germany's capital.,1,capital germany berlin,berlin germany capital
What is the capital of Canada?,The capital of Canada is Ottawa.,Canada's capital city is Ottawa.,1,capital canada ottawa,canada capital city ottawa
Who painted 'Starry Night'?,'Starry Night' was painted by Vincent van Gogh.,Pablo Picasso painted 'Starry Night'.,0,night painted vincent van gogh,pablo picasso painted night
What is the formula for the area of a rectangle?,The formula for the area of a rectangle is length x width.,Area of a rectangle is length times width.,1,formula area rectangle length x width,area rectangle length times width
What is the capital of Germany?,The capital of Germany is Berlin.,Berlin is Germany's capital.,1,capital germany berlin,berlin germany capital
What is the name of the first president of the United States?,The first president of the United States is George Washington.,George Washington was the first president.,1,first president united states george washington,george washington first president
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The galaxy we live in is the Milky Way.,1,galaxy called milky way,galaxy live milky way
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is Hydrochloric Acid.,1,hcl stands hydrochloric acid,hcl hydrochloric acid
